City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Antofagasta,CL,2020-07-07 21:50:01,-23.65,-70.4,60.8,67,20,16.11
70,Beringovskiy,RU,2020-07-07 21:51:38,63.05,179.32,51.94,72,46,1.9
71,Sernur,RU,2020-07-07 21:51:38,56.93,49.15,68.76,94,0,8.77
72,Fort Morgan,US,2020-07-07 21:51:38,40.25,-103.8,80.6,32,40,5.82
73,Lagoa,PT,2020-07-07 21:51:38,39.05,-27.98,69.62,88,0,5.99
74,Saskylakh,RU,2020-07-07 21:51:07,71.92,114.08,50.22,69,50,7.92
75,Khatanga,RU,2020-07-07 21:51:38,71.97,102.5,49.66,72,76,16.8
76,Fez,MA,2020-07-07 21:51:38,34.04,-5.0,87.8,15,19,10.29
77,Hede,CN,2020-07-07 21:51:39,33.77,120.25,72.66,93,72,7.4
78,Mwanza,TZ,2020-07-07 21:51:39,-2.52,32.9,71.6,46,20,5.82
79,Mujiayingzi,CN,2020-07-07 21:51:39,42.12,118.78,63.88,48,0,4.45
80,Surt,LY,2020-07-07 21:51:39,31.21,16.59,74.79,83,0,9.8
81,Bethel,US,2020-07-07 21:51:39,41.37,-73.41,70.0,88,90,6.93
82,Husavik,IS,2020-07-07 21:51:40,66.04,-17.34,50.0,71,0,11.41
83,Upernavik,GL,2020-07-07 21:51:40,72.79,-56.15,45.3,67,40,8.97
84,Pasni,PK,2020-07-07 21:51:40,25.26,63.47,85.3,85,98,3.87
85,Trinidad,BO,2020-07-07 21:51:40,-14.83,-64.9,80.6,83,75,4.7
86,Pemangkat,ID,2020-07-07 21:51:40,1.17,108.97,75.29,87,87,5.82
87,Ossora,RU,2020-07-07 21:51:40,59.24,163.07,54.32,88,100,10.47
88,Saint George,US,2020-07-07 21:49:53,37.1,-113.58,102.0,5,1,14.99
89,Nikolskoye,RU,2020-07-07 21:51:40,59.7,30.79,60.01,82,20,4.47
90,Kloulklubed,PW,2020-07-07 21:50:00,7.04,134.26,77.0,94,75,1.68
91,Lavrentiya,RU,2020-07-07 21:51:41,65.58,-171.0,45.73,85,76,10.09
92,Touros,BR,2020-07-07 21:51:41,-5.2,-35.46,77.0,83,0,5.82
93,Ixtapa,MX,2020-07-07 21:51:41,20.7,-105.2,82.4,74,90,4.7
94,Saint-Louis,SN,2020-07-07 21:51:41,16.33,-15.0,91.4,49,99,4.7
95,Chokurdakh,RU,2020-07-07 21:51:35,70.63,147.92,43.5,85,93,10.47
96,Karratha,AU,2020-07-07 21:51:41,-20.74,116.85,64.42,28,50,10.22
97,Cherskiy,RU,2020-07-07 21:51:41,68.75,161.3,64.36,48,20,6.73
98,Manacapuru,BR,2020-07-07 21:51:41,-3.3,-60.62,84.2,74,20,1.12
99,Ushuaia,AR,2020-07-07 21:50:07,-54.8,-68.3,39.2,69,75,11.41
100,Butaritari,KI,2020-07-07 21:51:42,3.07,172.79,83.44,73,24,12.82
101,Bilibino,RU,2020-07-07 21:51:42,68.05,166.44,62.85,46,38,6.85
102,Puebloviejo,CO,2020-07-07 21:51:42,10.99,-74.28,86.0,79,40,17.22
103,Burnie,AU,2020-07-07 21:51:42,-41.07,145.92,44.01,91,100,5.99
104,Chuy,UY,2020-07-07 21:51:42,-33.7,-53.46,50.18,73,98,8.61
105,Hithadhoo,MV,2020-07-07 21:51:43,-0.6,73.08,84.09,75,75,9.31
106,Salalah,OM,2020-07-07 21:51:43,17.02,54.09,82.4,88,40,3.36
107,Bukoba,TZ,2020-07-07 21:51:43,-1.33,31.81,67.14,66,74,2.86
108,Chiang Khong,TH,2020-07-07 21:51:43,20.26,100.4,69.01,99,100,0.65
109,Baykit,RU,2020-07-07 21:51:43,61.67,96.37,59.5,89,100,1.28
110,Kodiak,US,2020-07-07 21:51:43,57.79,-152.41,59.0,82,90,5.82
